date/time,script,user,action,table,field,"key value","old value","new value"
"2024-12-05 06:36:16",/afyaplus/login,2,login,::1,,,,
"2024-12-05 07:22:38",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 07:22:44",/afyaplus/login,2,login,::1,,,,
"2024-12-05 07:39:52",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 07:39:57",/afyaplus/login,2,login,::1,,,,
"2024-12-05 07:43:38",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 07:43:44",/afyaplus/login,2,login,::1,,,,
"2024-12-05 07:47:41",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 07:47:48",/afyaplus/login,2,login,::1,,,,
"2024-12-05 07:52:08",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 07:52:14",/afyaplus/login,2,login,::1,,,,
"2024-12-05 07:56:47",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 07:57:30",/afyaplus/login,2,login,::1,,,,
"2024-12-05 08:05:39",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 08:05:47",/afyaplus/login,2,login,::1,,,,
"2024-12-05 08:07:26",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 08:07:34",/afyaplus/login,2,login,::1,,,,
"2024-12-05 08:20:08",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 08:20:16",/afyaplus/login,2,login,::1,,,,
"2024-12-05 08:20:48",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 08:20:54",/afyaplus/login,2,login,::1,,,,
"2024-12-05 08:21:44",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 08:21:54",/afyaplus/login,4,login,::1,,,,
"2024-12-05 08:26:19",/afyaplus/logout,4,logout,::1,,,,
"2024-12-05 08:26:27",/afyaplus/login,4,login,::1,,,,
"2024-12-05 08:31:20",/afyaplus/logout,4,logout,::1,,,,
"2024-12-05 08:31:28",/afyaplus/login,4,login,::1,,,,
"2024-12-05 08:34:20",/afyaplus/logout,4,logout,::1,,,,
"2024-12-05 08:34:28",/afyaplus/login,4,login,::1,,,,
"2024-12-05 08:48:30",/afyaplus/logout,4,logout,::1,,,,
"2024-12-05 08:48:41",/afyaplus/login,2,login,::1,,,,
"2024-12-05 08:56:41",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 08:56:48",/afyaplus/login,2,login,::1,,,,
"2024-12-05 08:57:26",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 08:57:39",/afyaplus/login,6,login,::1,,,,
"2024-12-05 09:06:54",/afyaplus/logout,6,logout,::1,,,,
"2024-12-05 09:07:07",/afyaplus/login,2,login,::1,,,,
"2024-12-05 09:12:59",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 09:13:10",/afyaplus/login,1,login,::1,,,,
"2024-12-05 09:25:26",/afyaplus/logout,1,logout,::1,,,,
"2024-12-05 09:25:38",/afyaplus/login,2,login,::1,,,,
"2024-12-05 10:16:22",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 10:16:29",/afyaplus/login,2,login,::1,,,,
"2024-12-05 10:17:30",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 10:19:27",/afyaplus/login,2,login,::1,,,,
"2024-12-05 10:22:25",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 10:22:31",/afyaplus/login,2,login,::1,,,,
"2024-12-05 10:23:45",/afyaplus/logout,2,logout,::1,,,,
"2024-12-05 10:23:55",/afyaplus/login,4,login,::1,,,,
"2024-12-05 11:09:09",/afyaplus/logout,4,logout,::1,,,,
"2024-12-05 11:09:20",/afyaplus/login,5,login,::1,,,,
"2024-12-05 11:25:21",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 11:25:28",/afyaplus/login,5,login,::1,,,,
"2024-12-05 12:57:31",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 12:59:20",/afyaplus/login,5,login,::1,,,,
"2024-12-05 17:12:20",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 17:12:28",/afyaplus/login,5,login,::1,,,,
"2024-12-05 18:05:59",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 18:06:06",/afyaplus/login,5,login,::1,,,,
"2024-12-05 18:33:29",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 18:33:37",/afyaplus/login,5,login,::1,,,,
"2024-12-05 18:35:45",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 18:35:51",/afyaplus/login,5,login,::1,,,,
"2024-12-05 19:12:29",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 19:12:38",/afyaplus/login,5,login,::1,,,,
"2024-12-05 19:33:30",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 19:33:39",/afyaplus/login,5,login,::1,,,,
"2024-12-05 19:36:39",/afyaplus/logout,5,logout,::1,,,,
"2024-12-05 19:36:47",/afyaplus/login,5,login,::1,,,,
